序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,000968,蓝焰控股,11.57,5.86,0.64,1529992,1748859555.01,7.78,11.86,11.01,11.2,10.93,15.81,31.33,1.81
2,601969,海南矿业,11.71,5.02,0.56,441049,506817466.0,7.44,11.85,11.02,11.05,11.15,2.24,54.12,3.39
3,000637,茂化实华,4.8,4.8,0.22,234125,111643266.0,7.64,4.9,4.55,4.6,4.58,6.42,-19.97,4.5
4,300191,潜能恒信,39.52,4.27,1.62,221432,852533013.37,7.65,39.9,37.0,37.6,37.9,10.01,-521.47,11.91
5,002629,仁智股份,6.54,4.14,0.26,221276,142568792.0,6.05,6.58,6.2,6.24,6.28,5.23,-98.81,77.82
6,300055,万邦达,11.24,3.69,0.4,385016,428925743.38,6.0,11.3,10.65,10.85,10.84,6.08,282.24,1.82
7,000159,国际实业,6.64,3.59,0.23,179756,117590086.79,5.15,6.66,6.33,6.34,6.41,3.74,119.04,1.57
8,002828,贝肯能源,12.96,3.51,0.44,261550,332034752.0,5.99,13.11,12.36,12.36,12.52,13.51,67.33,3.74
9,000059,华锦股份,5.52,2.99,0.16,448190,245947458.58,5.78,5.61,5.3,5.33,5.36,2.8,-4.75,0.88
10,002221,东华能源,8.89,2.89,0.25,394666,348755494.97,4.17,9.01,8.65,8.68,8.64,2.7,139.58,1.26
11,000985,大庆华科,19.85,2.85,0.55,23218,45491238.84,3.73,19.87,19.15,19.3,19.3,1.79,145.93,4.18
12,002476,宝莫股份,5.81,2.29,0.13,86983,50073557.0,4.05,5.81,5.58,5.67,5.68,1.42,70.42,3.7
13,300839,博汇股份,12.71,2.25,0.28,54334,68509817.0,3.62,12.74,12.29,12.35,12.43,1.88,-43.53,4.98
14,002493,荣盛石化,12.1,2.2,0.26,553432,666589377.08,5.74,12.29,11.61,11.64,11.84,0.59,102.04,2.77
15,603727,博迈科,21.08,2.18,0.45,171568,354186875.0,5.77,21.1,19.91,20.43,20.63,6.09,96.65,1.85
16,002554,惠博普,3.75,2.18,0.08,387000,143492202.0,3.81,3.76,3.62,3.65,3.67,2.9,356.34,2.11
17,600256,广汇能源,7.04,2.18,0.15,2436918,1693020509.0,3.63,7.05,6.8,6.9,6.89,3.81,33.35,1.89
18,600688,上海石化,2.98,2.05,0.06,528784,156234460.0,2.4,2.98,2.91,2.92,2.92,0.72,-21.93,1.36
19,002377,国创高新,3.43,1.78,0.06,200265,68467223.0,3.26,3.45,3.34,3.39,3.37,2.3,-89.54,7.1
20,002207,准油股份,9.86,1.65,0.16,242072,235729636.64,4.12,9.95,9.55,9.7,9.7,9.28,-60.81,72.94
21,603223,恒通股份,8.5,1.55,0.13,41682,35117661.0,2.87,8.51,8.27,8.36,8.37,0.59,25.58,1.54
