序号,字段代码,字段名称,展示名称,层级,单位代码,单位说明,展示口径,公式,2025三季报,2025半年报,2025一季报,2024年报,2024三季报,2024半年报,2024一季报,2023年报,2023三季报,2023半年报,2023一季报,2022年报,2022三季报,2022半年报,2022一季报,2021年报,2021半年报,2020年报,2019年报,2018年报
1,FDMT_INDIC_PS,每股指标,每股指标,1,3,分组/标题,分组/标题,,,,,,,,,,,,,,,,,,,,,
2,basicEps,每股收益-基本,每股收益-基本,2,2,每股类,每股类,,2.14,1.46,0.77,2.9,2.45,1.68,0.84,2.6,2.05,1.34,0.68,3.03,2.34,1.57,0.77,1.57,0.75,0.56,1.37,1.18
3,dilutedEps,每股收益-稀释,每股收益-稀释,2,2,每股类,每股类,,2.14,1.46,0.77,2.9,2.45,1.68,0.84,2.6,2.05,1.34,0.68,3.03,2.34,1.57,0.77,1.57,0.75,0.56,1.37,1.18
4,basicEpsCut,每股收益-扣除/基本,每股收益-扣除/基本,2,2,每股类,每股类,,,1.46,,2.81,,1.66,,2.63,,1.31,,3.0,,1.55,,1.53,0.73,0.48,1.28,1.11
5,dilutedEpsCut,每股收益-扣除/稀释,每股收益-扣除/稀释,2,2,每股类,每股类,,,1.46,,2.81,,1.66,,2.63,,1.31,,3.0,,1.55,,1.53,0.73,0.48,1.28,1.11
6,eps,每股收益-期末股本摊薄,每股收益-期末股本摊薄,2,2,每股类,每股类,,2.1454,1.4629,0.7693,2.9021,2.4544,1.6762,0.835,2.6036,2.0528,1.3405,0.6751,2.979,2.2854,1.509,0.7683,1.575,0.7465,0.559,1.3673,1.1798
7,epsCut,每股收益-扣除/期末股本摊薄,每股收益-扣除/期末股本摊薄,2,2,每股类,每股类,,2.1232,1.4591,0.779,2.8066,2.4378,1.665,0.8299,2.6318,2.012,1.3102,0.6614,2.9485,2.2542,1.4885,0.7614,1.5269,0.7281,0.4786,1.2814,1.1053
8,nAssetPs,每股净资产,每股净资产,2,2,每股类,每股类,,16.5277,16.5468,16.4912,15.7279,15.1238,15.1198,14.8525,14.0137,13.5266,13.382,13.155,12.5546,11.9277,11.5181,11.54,10.7713,10.2315,9.71,10.0384,9.4048
9,tRevPs,每股营业总收入,每股营业总收入,2,2,每股类,每股类,,6.5749,4.3679,2.2481,8.8472,6.8593,4.7674,2.3434,8.7584,6.4502,4.0378,2.0542,8.8766,6.5377,4.2478,2.0359,5.5123,2.469,3.48,5.2231,5.1002
10,revPs,每股营业收入,每股营业收入,2,2,每股类,每股类,,6.5749,4.3679,2.2481,8.8472,6.8593,4.7674,2.3434,8.7584,6.4502,4.0378,2.0542,8.8766,6.5377,4.2478,2.0359,5.5123,2.469,3.48,5.2231,5.1002
11,opPs,每股营业利润,每股营业利润,2,2,每股类,每股类,,2.9332,1.9949,1.0504,3.9967,3.2485,2.225,1.1058,3.6347,2.7997,1.8235,0.9113,4.0979,3.1481,2.0579,1.0293,2.1458,1.0072,0.7787,1.9133,1.6663
12,ebitPs,每股息税前利润,每股息税前利润,2,2,每股类,每股类,,2.937,1.977,1.0517,3.992,3.2782,2.2196,1.098,3.6461,2.8108,1.8279,0.9086,4.1396,3.1909,2.0867,1.0439,2.2345,1.053,0.8841,2.0315,1.7873
13,ebitdaPs,每股EBITDA,每股EBITDA,2,2,每股类,每股类,,,2.8042,,5.5617,,3.0092,,5.0956,,2.5372,,5.461,,2.7061,,3.5165,1.7007,2.0556,3.3238,2.926
14,rePs,每股未分配利润,每股未分配利润,2,2,每股类,每股类,,13.2918,13.2745,13.1841,12.4148,12.006,11.9092,11.6692,10.8341,10.2834,10.1107,10.1142,9.439,8.7467,8.5855,9.3771,8.6088,8.0302,7.4918,7.5196,6.8018
