序号,字段代码,字段名称,展示名称,层级,单位代码,单位说明,展示口径,公式,2025三季报,2025半年报,2025一季报,2024年报,2024三季报,2024半年报,2024一季报,2023年报,2023三季报,2023半年报,2023一季报,2022年报,2022三季报,2022半年报,2022一季报,2021年报,2021三季报,2021半年报,2021一季报,2020年报,2019年报,2018年报
1,tRevenue,营业总收入,营业总收入,1,0,金额类,亿元,,3125.03,2076.08,1068.54,4205.06,3260.24,2267.7,1114.68,4166.09,3068.17,1920.64,977.11,4222.3,3111.45,2023.55,908.98,2461.11,1738.55,1102.33,523.86,1553.73,2331.985562,2277.102148
2,revenue,营业收入,营业收入,2,0,金额类,亿元,,3125.03,2076.08,1068.54,4205.06,3260.24,2267.7,1114.68,4166.09,3068.17,1920.64,977.11,4222.3,3111.45,2023.55,908.98,2461.11,1738.55,1102.33,523.86,1553.73,2331.985562,2277.102148
3,intIncome,利息收入,利息收入,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
4,premEarned,已赚保费,已赚保费,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
5,commisIncome,手续费及佣金收入,手续费及佣金收入,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
6,specOr,营业收入的特殊项目,营业收入的特殊项目,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
7,AOR,营业总收入的差错金额,营业总收入的差错金额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
8,tCogs,营业总成本,营业总成本,1,0,金额类,亿元,,1725.93,1118.99,565.3,2305.57,1741.81,1224.63,595.2,2460.89,1777.99,1082.85,558.91,2312.68,1653.08,1066.94,450.14,1461.11,1051.84,668.46,326.45,1180.56,1519.216713,1513.819954
9,COGS,营业成本,营业成本,2,0,金额类,亿元,,1492.56,966.02,484.62,1949.93,1484.98,1049.62,519.14,2087.94,1546.46,935.83,496.27,1982.23,1416.86,912.38,378.31,1215.85,879.22,557.33,276.72,973.81,1293.836966,1300.411773
10,intExp,利息支出,利息支出,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
11,commisExp,手续费及佣金支出,手续费及佣金支出,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
12,premRefund,退保金,退保金,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
13,nCompensPayout,赔付支出净额,赔付支出净额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
14,reserInsurContr,提取保险合同准备金净额,提取保险合同准备金净额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
15,policyDivPayt,保单红利支出,保单红利支出,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
16,reinsurExp,分保费用,分保费用,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
17,bizTaxSurchg,税金及附加,税金及附加,2,0,金额类,亿元,,135.81,99.03,50.06,202.76,154.08,103.59,50.74,243.31,138.22,83.69,37.64,187.78,140.52,92.2,42.69,111.72,78.7,48.79,22.04,72.0,91.555773,91.405863
18,sellExp,销售费用,销售费用,2,0,金额类,亿元,,27.77,18.26,9.38,35.32,25.94,17.19,8.84,35.01,26.23,17.5,8.74,33.55,24.84,16.26,7.7,26.94,19.98,13.04,6.32,30.48,27.984635,24.44741
19,adminExp,管理费用,管理费用,2,0,金额类,亿元,,54.0,34.11,16.48,72.13,50.33,33.91,16.22,70.12,47.75,30.31,13.24,63.56,41.02,26.29,12.36,52.18,34.57,21.96,10.13,48.34,45.883963,45.358732
20,rDExp,研发费用,研发费用,2,0,金额类,亿元,,11.12,7.05,3.21,17.11,12.22,7.63,3.36,16.05,11.89,7.58,3.51,15.27,8.12,4.75,2.25,15.06,9.82,6.15,1.7,13.21,9.849218,7.150973
21,finanExp,财务费用,财务费用,2,0,金额类,亿元,,4.67,-5.48,1.55,28.32,14.26,12.69,-3.1,8.46,7.44,7.94,-0.49,30.29,21.72,15.06,6.83,39.36,29.55,21.19,9.54,42.72,50.106158,45.045203
22,intExpFinanExp,其中:利息费用,  其中:利息费用,2,0,金额类,亿元,,19.53,12.41,4.52,28.07,22.35,17.14,4.62,24.23,18.92,13.72,7.91,31.29,24.32,16.86,8.23,31.99,30.98,14.89,7.87,35.54,30.699226,26.019826
