序号,字段代码,字段名称,展示名称,层级,单位代码,单位说明,展示口径,公式,2025三季报,2025半年报,2025一季报,2024年报,2024三季报,2024半年报,2024一季报,2023年报,2023三季报,2023半年报,2023一季报,2022年报,2022三季报,2022半年报,2022一季报,2021年报,2021三季报,2021半年报,2021一季报,2020年报,2019年报,2018年报
1,FDMT_SUMMARY_IS,利润表摘要,利润表摘要,1,3,分组/标题,分组/标题,,,,,,,,,,,,,,,,,,,,,,,
2,tRevenue,营业总收入,营业总收入,2,0,金额类,亿元,,3125.03,2076.08,1068.54,4205.06,3260.24,2267.7,1114.68,4166.09,3068.17,1920.64,977.11,4222.3,3111.45,2023.55,908.98,2461.11,1738.55,1102.33,523.86,1553.73,2331.985562,2277.102148
3,revenue,营业收入,营业收入,2,0,金额类,亿元,,3125.03,2076.08,1068.54,4205.06,3260.24,2267.7,1114.68,4166.09,3068.17,1920.64,977.11,4222.3,3111.45,2023.55,908.98,2461.11,1738.55,1102.33,523.86,1553.73,2331.985562,2277.102148
4,revenueYOY,营业收入同比(YOY),营业收入同比(YOY),2,1,比例类,比例类,,-4.1472,-8.45,-4.1393,0.9354,6.2601,18.07,14.0793,-1.3313,-1.391,-5.0856,7.4952,71.5608,78.9681,83.5703,73.5158,58.4001,,,,-33.3731,2.4102,
5,COGS,营业成本,营业成本,2,0,金额类,亿元,,1492.56,966.02,484.62,1949.93,1484.98,1049.62,519.14,2087.94,1546.46,935.83,496.27,1982.23,1416.86,912.38,378.31,1215.85,879.22,557.33,276.72,973.81,1293.836966,1300.411773
6,operateProfit,营业利润,营业利润,2,0,金额类,亿元,,1394.15,948.19,499.27,1899.64,1543.99,1058.37,525.97,1728.91,1331.71,867.36,433.47,1949.25,1498.27,980.35,459.54,958.04,713.33,449.67,203.63,347.66,854.245895,743.968971
7,operProfitYOY,营业利润同比(YOY),营业利润同比(YOY),2,1,比例类,比例类,,-9.7047,-10.4103,-5.0763,9.875,15.9404,22.022,21.3394,-11.3038,-11.1168,-11.5255,-5.6731,103.4623,110.0388,118.0154,125.674,175.5681,,,,-59.3021,14.8228,
8,TProfit,利润总额,利润总额,2,0,金额类,亿元,,1391.29,946.59,498.32,1899.76,1543.85,1057.76,525.37,1729.74,1329.55,866.22,432.69,1947.7,1496.93,978.98,459.26,958.21,,449.73,,349.07,856.49273,751.58138
9,tProfitYOY,利润总额同比(YOY),利润总额同比(YOY),2,1,比例类,比例类,,-9.8818,-10.5099,-5.1488,9.8292,16.1182,22.1122,21.4195,-11.1906,-11.1816,-11.5181,-5.7854,103.2644,109.8981,117.6817,126.036,174.5037,,,,-59.2443,13.9587,
10,NIncome,净利润,净利润,2,0,金额类,亿元,,1020.61,695.93,366.01,1379.82,1166.84,797.45,397.26,1240.9,976.59,637.48,321.09,1416.77,1087.58,718.83,343.0,703.07,,333.26,,249.56,610.45459,526.753613
11,NIYOY,净利润同比(YOY),净利润同比(YOY),2,1,比例类,比例类,,-12.5321,-12.7306,-7.8664,11.1951,19.4811,25.0941,23.7223,-12.4134,-10.2052,-11.317,-6.3878,101.5119,105.8641,115.6965,131.6785,181.7238,,,,-59.119,15.89,
12,NIncomeAttrP,归属于母公司所有者的净利润,归属于母公司所有者的净利润,2,0,金额类,亿元,,1019.71,695.33,365.63,1379.36,1166.59,797.31,397.19,1238.43,976.45,637.61,321.13,1417.0,1087.68,718.87,343.01,703.2,,333.29,,249.57,610.453943,526.753614
13,niAttrPYOY,归属母公司股东的净利润同比(YOY),归属母公司股东的净利润同比(YOY),2,1,比例类,比例类,,-12.5905,-12.7905,-7.9458,11.3797,19.4726,25.0467,23.6851,-12.602,-10.2264,-11.3039,-6.3788,101.5074,105.8557,115.689,131.6696,181.7646,,,,-59.1173,15.8898,
14,nrProfitLoss,非经常性损益,非经常性损益,2,0,金额类,亿元,,10.56,1.8,-4.64,45.39,7.91,5.34,2.44,-13.45,19.39,14.37,6.53,14.5,14.83,9.77,3.08,21.49,,8.23,,35.87,38.358757,33.274094
15,niAttrPCut,扣非后归属于母公司股东的净利润,扣非后归属于母公司股东的净利润,2,0,金额类,亿元,,1009.15,693.53,370.27,1333.97,1158.68,791.97,394.75,1251.88,957.06,623.24,314.6,1402.5,1072.85,709.1,339.93,681.71,,325.06,,213.7,572.095186,493.47952
16,niAttrPCutYOY,扣非后归属母公司股东的净利润(同比),扣非后归属母公司股东的净利润(同比),2,1,比例类,比例类,,-12.9052,-12.4298,-6.2014,6.5573,21.0666,27.073,25.4768,-10.7394,-10.7927,-12.1083,-7.4515,105.7326,,118.1443,,219.0033,,,,-62.6461,15.9309,
17,EBIT,息税前利润,息税前利润,2,0,金额类,亿元,,1395.96,939.65,499.87,1897.4,1558.11,1055.81,522.27,1734.32,1336.99,869.48,432.2,1969.09,1518.65,994.06,466.09,997.65,,470.14,,394.71,906.999896,797.996258
18,EBITDA,息税折旧摊销前利润,息税折旧摊销前利润,2,0,金额类,亿元,,,1332.83,,2643.46,,1431.36,,2423.79,,1206.86,,2597.61,,1289.13,,1570.01,,759.3,,917.77,1483.987703,1306.378748
19,FDMT_SUMMARY_BS,资产负债表摘要,资产负债表摘要,1,3,分组/标题,分组/标题,,,,,,,,,,,,,,,,,,,,,,,
20,TCA,流动资产,流动资产,2,0,金额类,亿元,,3326.78,3214.89,2997.69,2646.09,2855.95,2971.7,2887.58,2502.75,2760.25,2702.89,2922.85,2646.79,3006.31,3154.84,2343.03,2079.82,,1955.173727,,1633.91,2059.327291,1911.507526
21,fixedAssets,固定资产,固定资产,2,0,金额类,亿元,,65.91,66.82,66.26,67.39,66.86,67.38,69.16,70.1,66.06,66.38,65.59,66.52,58.93,55.94,49.46,50.36,,24.060675,,24.49,22.524289,22.941736
22,LTEquityInvest,长期股权投资,长期股权投资,2,0,金额类,亿元,,474.25,477.36,484.73,484.91,520.36,523.43,517.05,512.52,510.37,506.88,489.08,489.27,473.34,448.32,410.47,415.4,,424.262745,,423.66,454.905595,247.015189
23,TAssets,资产总计,资产总计,2,0,金额类,亿元,,11264.74,11189.57,11027.06,10562.81,10793.9,10754.04,10551.79,10055.98,10200.25,9990.74,9611.59,9290.31,9349.62,9198.14,8247.63,7865.69,,7560.254041,,7212.76,7577.30423,6863.80004
24,taYOY,资产总计同比(YOY),资产总计同比(YOY),2,1,比例类,比例类,,4.3621,4.0499,4.5042,5.0401,5.82,7.6401,9.7819,8.2416,9.098,8.617,16.5376,18.1118,,21.6644,,9.0524,,,,-4.811,10.3952,
25,TCL,流动负债,流动负债,2,0,金额类,亿元,,1435.97,1361.46,1253.19,1188.75,1669.46,1661.25,1319.4,1239.39,1645.19,1522.89,1182.29,1133.91,1534.16,1666.37,981.35,939.51,,907.224468,,717.55,889.945586,715.239494
26,TNCL,非流动负债,非流动负债,2,0,金额类,亿元,,1953.09,1944.36,1916.03,1879.7,1918.4,1883.76,2151.6,2137.83,2108.76,2090.59,2159.93,2172.57,2127.14,2033.64,2102.85,2106.42,,2076.801733,,2155.9,2205.091855,1949.449562
27,TLiab,负债合计,负债合计,2,0,金额类,亿元,,3389.06,3305.82,3169.22,3068.45,3587.86,3545.01,3471.0,3377.22,3753.95,3613.48,3342.22,3306.48,3661.3,3700.01,3084.2,3045.93,,2984.026201,,2873.45,3095.037441,2664.689056
28,tlYOY,负债合计同比(YOY),负债合计同比(YOY),2,1,比例类,比例类,,-5.5409,-6.7472,-8.6943,-9.1427,-4.4244,-1.8948,3.8531,2.1394,2.5305,-2.3386,8.3659,8.554,,23.9939,,6.0025,,,,-7.1594,16.15,
29,TShEquity,股东权益,股东权益,2,0,金额类,亿元,,7875.68,7883.75,7857.84,7494.36,7206.04,7209.03,7080.79,6678.76,6446.3,6377.26,6269.37,5983.83,5688.32,5498.13,5163.43,4819.76,,4576.22784,,4339.31,4482.266789,4199.110984
30,naYOY,股东权益同比(YOY),股东权益同比(YOY),2,1,比例类,比例类,,9.2928,9.3594,10.9741,12.2118,11.7857,13.0427,12.9426,11.6135,13.3252,15.9896,21.4187,24.152,,20.1455,,11.072,,,,-3.1894,6.7432,
31,TEquityAttrP,归属母公司股东的权益,归属母公司股东的权益,2,0,金额类,亿元,,7855.61,7864.68,7838.24,7475.48,7188.33,7191.98,7064.83,6665.86,6434.15,6365.37,6257.4,5971.82,5676.71,5486.91,5152.33,4809.12,,4568.093382,,4337.1,4481.874143,4199.010535
32,teAttrPYOY,归属母公司股东的权益同比(YOY),归属母公司股东的权益同比(YOY),2,1,比例类,比例类,,9.2828,9.3535,10.9473,12.1458,11.7215,12.986,12.9036,11.6219,13.3429,16.0101,21.448,24.177,,20.1138,,10.8833,,,,-3.2302,6.7364,
33,capitalReser,资本公积,资本公积,2,0,金额类,亿元,,28.56,28.54,28.53,28.51,28.44,28.43,28.61,28.61,28.6,28.58,28.54,28.54,28.54,28.54,28.54,28.54,,28.544125,,28.8,28.803099,82.134555
34,surplusReser,盈余公积,盈余公积,2,0,金额类,亿元,,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,,700.0,,700.0,700.0,700.0
35,retainedEarnings,未分配利润,未分配利润,2,0,金额类,亿元,,6317.57,6309.36,6266.39,5900.75,5706.43,5664.82,5550.64,5153.45,4891.47,4809.32,4810.98,4489.85,4162.8,4089.9,4186.63,3843.62,,3585.287507,,3344.88,3357.293695,3036.837167
36,FDMT_SUMMARY_CF,现金流量表摘要,现金流量表摘要,1,3,分组/标题,分组/标题,,,,,,,,,,,,,,,,,,,,,,,
37,CFrSaleGS,销售商品、提供劳务收到的现金,销售商品、提供劳务收到的现金,2,0,金额类,亿元,,3285.44,2111.54,1058.61,4522.15,3520.91,2348.09,1136.72,4448.58,3171.96,2061.07,1037.53,4425.84,3251.85,2005.62,821.8,2616.66,,1134.96,,1630.79,2291.944017,2268.039745
38,NCFOperateANotes,经营活动现金净流量,经营活动现金净流量,2,0,金额类,亿元,,1717.49,1091.82,572.74,2208.91,1827.68,1185.54,599.78,2097.43,1590.45,996.18,519.68,2055.74,1668.92,1022.27,394.16,1478.93,,641.59,,823.38,1235.18426,1243.970902
39,purFixAssetsOth,购建固定资产、无形资产和其他长期资产支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,2,0,金额类,亿元,,777.93,522.44,253.11,1233.59,851.07,545.67,285.2,1208.75,808.7,492.26,240.95,947.54,607.54,318.04,152.19,824.37,,312.07,,754.18,720.137415,512.666882
40,CPaidInvest,投资支付的现金,投资支付的现金,2,0,金额类,亿元,,1341.53,939.93,294.33,1446.59,897.57,618.1,206.47,1236.8,1023.87,896.15,435.27,1875.93,1343.77,843.38,280.0,1033.43,,330.87,,1710.38,1986.063241,1782.030444
41,NCFFrInvestA,投资活动产生的现金流量净额,投资活动产生的现金流量净额,2,0,金额类,亿元,,-1013.75,-737.83,-354.08,-1754.26,-1183.17,-788.02,-338.84,-780.95,-542.83,-502.44,-429.35,-984.73,-759.13,-342.05,-212.19,-962.35,,-318.69,,-508.5,-674.55146,-954.521805
42,CFrCapContr,吸收投资收到的现金,吸收投资收到的现金,2,0,金额类,亿元,,1.04,0.33,0.33,1.97,1.97,1.35,0.21,1.11,,,,322.58,322.05,321.61,0.47,8.56,,5.95,,1.83,0.29155,0.275477
43,CFrBorr,取得借款收到的现金,取得借款收到的现金,2,0,金额类,亿元,,0.51,0.28,0.09,18.16,17.57,15.75,13.31,1.7,1.07,1.07,0.75,8.5,6.11,0.89,0.47,81.08,,46.94,,74.17,143.102478,128.262988
44,NCFFrFinanA,筹资活动产生的现金流量净额,筹资活动产生的现金流量净额,2,0,金额类,亿元,,-531.37,-224.51,-17.94,-979.35,-641.55,-303.22,-11.56,-842.28,-559.1,-217.96,-17.35,-649.62,-315.81,181.28,-18.63,-333.32,,-86.53,,-386.98,-376.907587,-271.084651
45,NChangeInCash,现金及现金等价物净增加额,现金及现金等价物净增加额,2,0,金额类,亿元,,169.81,128.53,201.19,-521.55,-0.74,95.21,249.68,478.06,495.13,284.32,69.67,442.01,626.79,881.4,160.65,174.13,,232.63,,-96.6,186.831148,20.462415
46,NCEEndBal,期末现金及现金等价物余额,期末现金及现金等价物余额,2,0,金额类,亿元,,982.65,941.37,1014.03,812.84,1333.65,1429.6,1584.07,1334.39,1351.46,1140.65,926.0,856.33,1041.11,1295.72,574.97,414.32,,472.82,,240.19,336.786534,149.955386
47,DA,折旧与摊销,折旧与摊销,2,0,金额类,亿元,,,393.18,,746.06,,375.55,,689.47,,337.38,,628.52,,295.07,,572.36,,289.16,,523.06,576.987807,508.38249
48,FDMT_SUMMARY_MAIN,主要财务指标,主要财务指标,1,3,分组/标题,分组/标题,,,,,,,,,,,,,,,,,,,,,,,
49,grossMARgin,销售毛利率,销售毛利率,2,1,比例类,比例类,,52.2385,53.469,54.6465,53.629,54.4518,53.7143,53.427,49.8825,49.5967,51.2751,49.2104,53.0533,54.463,54.9119,58.3808,50.5975,,49.4407,,37.3244,44.5178,42.8918
50,sellExpTR,销售费用/营业总收入,销售费用/营业总收入,2,1,比例类,比例类,,0.8886,0.8795,0.8778,0.8399,0.7956,0.758,0.7931,0.8404,0.8549,0.9112,0.8945,0.7946,0.7983,0.8035,0.8471,1.0946,,1.1829,,1.9617,1.2,1.0736
51,adminExpTR,管理费用/营业总收入,管理费用/营业总收入,2,1,比例类,比例类,,1.728,1.643,1.5423,1.7153,1.5438,1.4953,1.4551,1.6831,1.5563,1.5781,1.355,1.5053,1.3184,1.2992,1.3598,2.1202,,1.9921,,3.1112,1.9676,1.9919
52,finanExpTR,财务费用/营业总收入,财务费用/营业总收入,2,1,比例类,比例类,,0.1494,-0.264,0.1451,0.6735,0.4374,0.5596,-0.2781,0.2031,0.2425,0.4134,-0.0501,0.7174,0.6981,0.7442,0.7514,1.5993,,1.9223,,2.7495,2.1486,1.9782
53,rDExpTR,研发费用/营业总收入,研发费用/营业总收入,2,1,比例类,比例类,,0.3558,0.3396,0.3004,0.4069,0.3748,0.3365,0.3014,0.3853,0.3875,0.3947,0.3592,0.3617,0.261,0.2347,0.2475,0.6119,,0.5579,,0.8502,0.4224,0.314
54,operateProfitRatio,营业利润/营业总收入,营业利润/营业总收入,2,1,比例类,比例类,,44.6124,45.6721,46.7245,45.1751,47.3582,46.6715,47.1857,41.4996,43.404,45.1599,44.3625,46.1656,48.1534,48.447,50.5556,38.9272,,40.7927,,22.3758,36.6317,32.6717
55,EBITMARgin,息税前利润/营业总收入,息税前利润/营业总收入,2,1,比例类,比例类,,44.6703,45.2608,46.7807,45.1218,47.7913,46.5586,46.8538,41.6294,43.5761,45.2703,44.2325,46.6355,48.8084,49.1246,51.2762,40.5366,,42.6497,,25.404,38.8939,35.0444
56,EBITDAMARgin,息税折旧摊销前利润/营业总收入,息税折旧摊销前利润/营业总收入,2,1,比例类,比例类,,,64.1994,,62.8638,,63.1195,,58.179,,62.8363,,61.5212,,63.7064,,63.7928,,68.8814,,59.0688,63.6362,57.3702
57,itTp,所得税/利润总额,所得税/利润总额,2,1,比例类,比例类,,26.6429,26.4803,26.5512,27.3687,24.4201,24.6096,24.3847,28.2609,26.5473,26.4067,25.7921,27.2593,27.346,26.5736,25.3146,26.6267,,25.8978,,28.5072,28.7262,29.914
