序号,字段代码,字段名称,展示名称,层级,单位代码,单位说明,展示口径,公式,2025三季报,2025半年报,2025一季报,2024年报,2024三季报,2024半年报,2024一季报,2023年报,2023三季报,2023半年报,2023一季报,2022年报,2022三季报,2022半年报,2022一季报,2021年报,2021半年报,2020年报,2019年报,2018年报
1,ASSETS,资产,资产,1,3,分组/标题,分组/标题,,,,,,,,,,,,,,,,,,,,,
2,cashCEquiv,货币资金,货币资金,2,0,金额类,亿元,,2420.29,2236.29,1887.34,1541.96,1840.56,1863.92,1833.79,1505.62,1513.35,1329.91,1422.71,1213.87,1493.6,1613.64,810.42,797.3,835.289774,658.31,508.388469,289.271913
3,settProv,结算备付金,结算备付金,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,
4,loanToBankFi,拆出资金,拆出资金,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,
5,tradingFa,交易性金融资产,交易性金融资产,2,0,金额类,亿元,,300.13,330.75,416.83,457.71,481.76,491.43,433.09,443.04,574.78,829.66,931.99,882.09,955.55,920.02,923.83,824.4,687.619393,616.62,1145.133233,1252.834125
6,derivAssets,衍生金融资产,衍生金融资产,2,0,金额类,亿元,,0.27,0.72,0.63,0.04,0.21,0.85,0.44,0.43,0.27,0.01,0.31,0.3,,,,,,,,
7,nrAr,应收票据及应收账款,应收票据及应收账款,2,0,金额类,亿元,,394.24,450.08,508.31,336.61,335.31,426.46,435.14,370.52,481.7,370.56,400.33,379.92,373.89,439.51,416.47,270.48,253.238275,189.82,247.941443,219.784382
8,notes/R,应收票据及应收账款:应收票据,  应收票据及应收账款:应收票据,2,0,金额类,亿元,,0.16,0.02,1.08,1.6,1.34,1.04,0.39,0.95,,,,,11.53,6.79,5.0,6.04,2.557562,5.81,0.859437,1.183009
9,AR,应收票据及应收账款:应收账款,  应收票据及应收账款:应收账款,2,0,金额类,亿元,,390.93,444.22,502.05,329.18,330.78,415.55,426.27,362.91,472.31,359.14,383.6,365.46,362.36,432.72,411.47,264.44,250.680713,184.01,247.082006,218.601373
10,finan/R,应收票据及应收账款:应收款项融资,  应收票据及应收账款:应收款项融资,2,0,金额类,亿元,,3.15,5.84,5.18,5.83,3.19,9.87,8.48,6.66,9.39,11.42,16.73,14.46,,,,,,,,
11,prepayment,预付款项,预付款项,2,0,金额类,亿元,,44.48,41.55,34.74,29.24,37.05,31.88,36.32,32.18,45.35,34.36,35.22,31.15,42.81,39.73,31.22,28.67,25.403651,19.51,24.1437,35.388431
12,premium/R,应收保费,应收保费,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,
13,reinsur/R,应收分保账款,应收分保账款,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,
14,reinsurReser/R,应收分保合同准备金,应收分保合同准备金,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,
