期间,营收(亿元),营业成本(亿元),营业利润(亿元),归母净利润(亿元),总资产(亿元),总负债(亿元),归母权益(亿元),货币资金(亿元),有息负债(亿元),经营现金流(亿元),资本开支(亿元),自由现金流(亿元),毛利率(%),营业利润率(%),净利率(%),ROE(%),ROA(%),ROIC(%),杜邦ROE(%),资产周转率,权益乘数,资产负债率(%),流动比率,速动比率,债务/EBITDA,利息保障倍数,经营现金流/净利润,FCF利润率(%),资本开支/营收(%),资本开支/折旧摊销,营收同比(%),归母净利润同比(%),经营现金流同比(%),每股收益,每股净资产,每股经营现金流,每股自由现金流,股息率(%),估算总股本(亿股)
2018年报,2277.102148,1300.411773,743.968971,526.753613,6863.80004,,4199.010535,289.271913,1384.417713,1243.970902,512.666882,731.30402,42.89181211558015,32.67174341095918,23.132629928905587,12.5447,,,12.544708059419046,0.3317553155292676,1.6346232005821817,,2.6725,2.5907,1.059736860477464,,2.3615801985965685,32.115556196822844,22.514004584742942,1.0084274971783547,,,,1.18,9.4048,2.7862,1.638085256301298,,446.43831399303497
2019年报,2331.985562,1293.836966,854.245895,610.45459,7577.30423,,4481.874143,508.388469,1380.565847,1235.18426,720.137415,515.046845,44.517796890202185,36.631697422147255,26.177460098700223,13.6205,8.4544,11.1133,14.064340505457409,0.322964991928557,1.6635521384817087,,2.314,2.243,0.9303081448782059,,2.023384343788782,22.086193559375047,30.880869364490522,1.2480981508851885,2.4102306542640006,15.889967327096443,-0.7063382259081208,1.37,10.0384,2.7665,1.2469,,446.03012505577124
2020年报,1553.73,973.81,347.66,249.56,7212.76,,4337.1,658.31,1250.1399999999999,823.38,754.18,69.20000000000005,37.32437424777793,22.375831064599385,16.061992752923608,5.7543,3.3747,4.8189,5.659615187738961,0.21010456423149693,1.6770730915159233,,2.2771,2.1984,1.3621495581681684,,3.2993268151947426,4.453798278980263,48.53996511620423,1.4418613543379346,-33.37308663834686,-59.118990324898704,-33.33950029447429,0.56,9.71,1.8442,0.5237,,446.15304546123286
2021一季报,523.86,276.72,203.63,,,,,,0.0,240.3,145.43,94.87,47.176726606345206,38.87107242393005,,,,,,,,,,,,,,18.109800328332,27.761233917458867,,-66.28371724817053,,-70.81541936894264,,,,,,
2021半年报,1102.33,557.33,449.67,333.26,7560.254041,,4568.093382,835.289774,1183.377171,641.59,312.07,329.52000000000004,49.44073008990048,40.79268458628542,30.232326072954564,7.296,4.5117,6.0081,7.2953850136507565,0.14580594699886487,1.6550130237683482,,2.1551,2.0864,1.5585106953773213,,1.9251935425793676,29.89304473252112,28.31003420028485,1.0792294923225896,110.42454090787612,,166.99542238868082,0.75,10.2315,1.437,0.3004,,445.41007193471137
2021三季报,1738.55,879.22,713.33,,,,,,0.0,1046.42,579.49,466.93000000000006,49.42797158551666,41.03016881884329,,,,,,,,,,,,,,26.85743867015617,33.33179948807915,,57.71592898678255,,63.097928583674936,,,,,,
2021年报,2461.11,1215.85,958.04,703.07,7865.69,,4809.12,797.3,1171.96,1478.93,824.37,654.5600000000001,50.59749462640841,38.927150757178666,28.567191226722905,14.6222,9.3255,12.3768,14.619514588947668,0.312891812415694,1.6355778188109258,,2.2137,2.153,0.7464665830153948,,2.1035316540316042,26.596129388771732,33.49586162341382,1.4402998113075687,41.561071007448746,,41.33235221039353,1.57,10.7713,3.3125,0.4202,,447.1453212154191
2022一季报,908.98,378.31,459.54,343.0,8247.63,,5152.33,810.42,1162.1599999999999,394.16,152.19,241.97000000000003,58.38082246034016,50.555567779269076,37.73460362164184,6.6574,4.2573,5.5389,6.886547641156658,0.11282342807068935,1.617567723574379,,2.3876,2.3312,,,1.1491545189504373,26.6199476336113,16.742942639001956,,-63.06625872065857,-51.21396162544271,-73.34829910813899,0.77,11.54,0.8828,0.5425760395783032,,445.9651410115015
2022半年报,2023.55,912.38,980.35,718.83,9198.14,,5486.91,1613.64,1053.81,1022.27,318.04,704.23,54.91191223345112,48.44703614934151,35.52321415334438,13.1015,8.4252,11.3552,13.512807305785005,0.23198173540061579,1.6397571631056351,,1.8932,1.8556,0.8174582858206696,,1.4221304063547708,34.80170986632404,15.716933112599147,1.0778459348629132,122.61765935444124,109.57142857142857,159.35406941343615,1.57,11.5181,2.1459,0.5138,,467.1131712275395
2022三季报,3111.45,1416.86,1498.27,1087.58,9349.62,,5676.71,1493.6,1102.37,1668.92,607.54,1061.38,54.46303170547494,48.153433286731264,34.95412106895499,19.1604,12.635,16.8298,19.484360807694998,0.3355068213088804,1.6614467350196445,,1.9596,1.9178,,,1.534526195774104,34.112069935239205,19.52594449533176,,53.76195300338513,51.2986380646328,63.256282586792146,2.34,11.9277,3.5067,2.256564330601691,,470.3522011787687
2022年报,4222.3,1982.23,1949.25,1416.77,9290.31,,5971.82,1213.87,1074.48,2055.74,947.54,1108.1999999999998,53.05331217582834,46.16559694952988,33.55446083887928,23.7281,16.5163,21.4155,24.325301132417568,0.4530381820103402,1.6001959045476126,,2.3342,2.2792,0.4136417707046092,,1.451004750241747,26.246358619709632,22.44132344930488,1.5075733469102013,35.70200388886211,30.268118207396256,23.177863528509434,3.03,12.5546,4.3218,1.2612,8.4583,471.6243703871128
2023一季报,977.11,496.27,433.47,321.09,9611.59,,6257.4,1422.71,1057.55,519.68,240.95,278.72999999999996,49.21042666639375,44.362456632313666,32.86119270092415,5.132,3.3974,4.3352,5.251193453057513,0.1033874901464932,1.5456341451049211,,2.4722,2.4146,,,1.618487028558971,28.525959206230617,24.65945492319186,,-76.85834734623309,-77.33647663346909,-74.72053858951035,0.68,13.155,1.0925,0.5881259310128901,,473.9291116104366
2023半年报,1920.64,935.83,867.36,637.48,9990.74,,6365.37,1329.91,945.5500000000001,996.18,492.26,503.91999999999996,51.27509580139953,45.159946684438516,33.1910196601133,10.0169,6.6125,8.6553,10.100477153588319,0.19596037817953274,1.552934102419675,,1.7748,1.735,0.7834794425202594,,1.5626843195080629,26.237087637454177,25.629998333888704,1.4590669275001487,96.56333473201586,98.53623594630791,91.6910406403941,1.34,13.382,2.0943,1.3166,,475.69895515696066
2023三季报,3068.17,1546.46,1331.71,976.59,10200.25,,6434.15,1513.35,934.48,1590.45,808.7,781.75,49.596665113080434,43.40404866744672,31.829722603375956,15.1761,10.0212,13.2266,15.259790992162205,0.3039147659426309,1.577480249259347,,1.6778,1.6404,,,1.6285749393297084,25.47935740196925,26.357731155705196,,59.7472717427524,53.19539436531342,59.65488164789497,2.05,13.5266,3.3436,1.6422425229328828,,476.0259152246721
2023年报,4166.09,2087.94,1728.91,1240.9,10055.98,,6665.86,1505.62,925.73,2097.43,1208.75,888.6799999999998,49.88250373851741,41.49958354236226,29.78572234397241,18.5787,12.8283,16.5178,18.945023706088783,0.41133912875199385,1.5462759188733446,,2.0193,1.9673,0.3819349036013846,,1.6902490128132803,21.33127224807913,29.014015539750698,1.7531582229828708,35.7841970946851,27.06458186137479,31.876512936590263,2.6,14.0137,4.4094,1.6077,5.4433,476.46830670097006
