报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20250930,,10328949334,,,,,,15202998831,,15202998831,,171704294,154105930.3,,,,,,,,,,322226903.8,830768173.2,,,,,256283612.1,27112931148,,,1159149886,,,,,76123371668,100918764.1,,4452402345,1990433289,,,,,,11410298964,,,,,4.17532E+11,,,,,691951132.2,25063078850,236616614.3,1139980554,49616646.05,,605072819,1100885443,5.41656E+11,5.68769E+11,,14332058476,,,,,,1481896626,,1481896626,,358662958.5,,,363203033.9,5094007685,,55468916.95,,,,24566508993,,,,,,,,,,,,,,68550687099,11277368434,1.26024E+11,,1.75241E+11,30068644589,,,516969926.8,,,,,79742447.54,28281153.76,3817888748,,2.09753E+11,3.35777E+11,,24468217716,,,,63983053684,,3630662993,289068686.1,24968300566,,,1.03767E+11,,,221105824660.31003,11885963196,2.32992E+11,5.68769E+11,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T19:06:38
20250630,,9424737205,,,,,,11714194795,1160000,11713034795,,155763880.2,1417137096,,,,,,,,,212748978.9,1629886075,732829397.8,,,,,234323243.6,23891734597,,,1160330900,,,,,74296567144,102330338.5,,4707461786,1839119045,,621922028031.5499,2.00161E+11,4.21761E+11,,10891761131,10890653985,1107145.69,4.21761E+11,16937978,4.21778E+11,,,,,716726810.6,25275395535,231441532.1,1148171869,29014599.76,,594761587.6,1038761821,5.43809E+11,5.67701E+11,,17088126299,,,,,,1357142745,,1357142745,,352897844.2,,,409633405.7,3430061560,,19259070277,,,25387680550,44646750827,,,,,,,,,,,,,,80718279747,236871936.3,1.4824E+11,,166432236132.16998,30117405499,,,501295757.5,,,,,93514963.05,22274161.61,3823632484,,2.0099E+11,3.4923E+11,,24468217716,,,,63983053684,,3956752613,211323816.8,24968300566,,,88932728263,,,2.0652E+11,11950622111,2.18471E+11,5.67701E+11,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T20:22:05
20250331,,6154257068,,,,,,9590940566,1160000,9589780566,,127065713.8,6499350,,,,,,,,,,176384125.7,654623143.3,,,,,408522998.6,17111793615,,,1058057449,,,,,74572510934,115812280.5,,4140473465,1796522953,,,,,,9973831503,,,,,4.26104E+11,,,,,731955410.5,25365704648,217546214.2,1150866176,34465686.32,,649202459.4,1047844042,5.46959E+11,5.64071E+11,,73413764815,,,,,,1448210626,,1448210626,,246516842.9,,,409281812,2684645482,,1332495902,,,,27320141183,,,,,,,,,,,,,,94611971753,1434619541,2.01569E+11,,1.06894E+11,23755159722,,,516079102,,,,,98392128.66,20707247.76,3610515928,,1.34895E+11,3.36464E+11,,24468217716,,,,63717681345,,3508023082,160355632.4,24968300566,,,98992364973,,,2.15815E+11,11792211513,2.27607E+11,5.64071E+11,定期报告,未审计,20250430,CNY,合并期末,2025-04-29T20:42:08
20241231,,6569054425,,,,,,9326624055,,9326624055,,87429651.53,155409691.3,,,,,,,,,167583068,323000402.3,641979948.6,,,,,255680295.5,17203768779,,,1016091728,,,,,73319357744,106387511,,3914542907,1897358777,,621051577888.6901,1.90642E+11,4.30409E+11,,9359696071,9061598264,1107145.69,4.30409E+11,15656716.4,4.30426E+11,,,,,754491789.9,25458642149,219232717.7,1152786257,39916772.8,,654531498.6,870783131.2,5.49189E+11,5.66393E+11,,69692431511,,,,,,1619502415,,1619502415,,265512523.6,,,406772248.1,2857598787,,6459050826,,,28996569159,35558748767,,,,,,,,,,,,,,46859683404,2410005394,1.5967E+11,,1.58751E+11,21740804827,,,582895188.7,,,,,136004704.8,20182962.73,3491968221,,1.84723E+11,344393145456.47003,,24468217716,,,,63717681345,,3240228917,82402978.14,24968300566,,,93811579375,,,2.10288E+11,11711682818,2.22E+11,5.66393E+11,定期报告,是,20251031,CNY,合并期末,2025-04-29T20:28:05
20240930,,6558947133,,,,,,12513550290,,12513550290,,136902674.8,208636663.8,,,,,,,,,,434553227.1,686771356.2,,,,,608363129.3,20945622669,,,1051866241,,,,,74575444872,98748199.62,,3461226804,1847666450,,,,,,5508971926,,,,,4.33794E+11,,,,6534859.44,732087071.8,23649043706,180976270.5,1131835694,26299387.18,,542499345.9,1804241392,5.48404E+11,5.6935E+11,,71012341276,,,,,,1523271560,,1523271560,,150630163.5,,,315428321.8,4284316087,,1313476040,,,,34078315310,,,,,,,,,,,,,,53217608312,5853493405,1.70435E+11,,1.57191E+11,16268481140,,,553509953.1,,,,,125451344.7,15892623.8,2942558357,,177096955174.75003,3.47532E+11,,24468217716,,,,63785107021,,2733283830,208428977.3,24967736455,,,94279534378,,,2.10442E+11,11375378674,2.21818E+11,5.6935E+11,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T17:30:07
20240630,,9628261254,,,,,,11913906361,,11913906361,,157290848.4,1752914511,,,,,,,,,208117194.4,1961031705,614796351.6,,,,,575049501,24856870880,,,1049983833,,,,,72980650588,101560137.1,,3437628380,1764711355,,617910861449.2999,1.80873E+11,4.37037E+11,,5185309482,5181117847,4191634.25,4.37037E+11,15779574.03,4.37053E+11,,,,6534859.44,681210340.9,23885797013,168087025.7,1143247789,25178359.3,,552206204,1616455695,5.49645E+11,5.74502E+11,,59629775977,,,,,,1354505716,,1354505716,,148156506.8,,,354210319.5,2953568040,,21377054394,,,33759074523,55136128917,,,,,,,,,,,,,,55769116800,1295738321,1.76641E+11,,1.69703E+11,19608454943,,,515934387.9,,,,,127916527.6,12724661.39,2914502875,,1.92882E+11,3.69523E+11,,24468217716,,,,63784504623,,2829641857,133179088.1,24967736455,,,77617851534,,,1.93801E+11,11177512211,2.04979E+11,5.74502E+11,定期报告,未审计,20240831,CNY,合并期末,2024-08-30T18:35:11
20240331,,8062140601,,,,,,7894548352,,7894548352,,101965693.3,120305200,,,,,,,,,,314518066.2,577315618.3,,,,,318819026.6,17275842216,,,1040970165,,,,,72795711799,91535979.29,,3344318260,1665907592,,,,,,5350242766,,,,,440306633623.3501,,,,6534859.44,707567847.9,23787263063,165401595.8,1139159875,40748464.53,,490964980.9,465418663.6,5.51392E+11,5.68668E+11,,56462542602,,,,,,1228376824,,1228376824,,46981987.47,,,394087769.8,2181160302,,1321649614,,,,35306507934,,,,,,,,,,,,,,61453641212,1267871371,1.58341E+11,,1.67994E+11,22342707250,,,580238848.7,,,,,57080744.75,12421447.9,2628422868,,1.93615E+11,3.51956E+11,,24468217716,,,,63491084072,,2204791713,75268795.34,24967736455,,,90360113661,,,2.05567E+11,11144542130,2.16712E+11,5.68668E+11,定期报告,未审计,20240430,CNY,合并期末,2024-04-29T20:50:11
20231231,,7823650160,,,,,21113693.72,8514603738,,8514603738,,77585806.42,120305200,,,,,,,,,181210961.8,301516161.8,586548003.5,,,,,408862262,17745228419,,,1052752691,,,,,71684283644,103479850.8,,3270244970,1663300965,,6.16335E+11,1.7084E+11,4.45495E+11,,5000934416,4993030334,7904082.23,4.45495E+11,18718606.04,4.45513E+11,,,,11348594.37,741097320.2,23781566727,164029769.4,1136419114,38711665.32,,540880668.7,502708347.4,5.55194E+11,5.72939E+11,,53985432820,,,,,,1515966664,40772218.98,1475194445,,14932731.05,,,368059210.4,2513791385,,1313100293,,,34791326174,36104426467,,,,,,,,,,,,,,48070386122,1720110926,1.44293E+11,,187007685859.59003,25835607000,,,592017629.3,,,,,56720903.03,11623647.69,2601502362,,2.16105E+11,3.60398E+11,,24468217716,,,,63608165605,,2002638311,1138609.33,24968300566,,,86404877655,,,2.01453E+11,11087267355,2.12541E+11,5.72939E+11,定期报告,是,20250430,CNY,合并期末,2024-04-29T20:50:11
20230930,,7762267043,,,,,,23704458518,530000000,23174458518,,53624708.26,185147150.6,,,,,,,,,,388431058.6,642143885.1,,,,,550604854.6,33101530068,,,1003380552,,,,,70428031042,104478860.2,,3129084352,2780459323,,,,,,5138059460,,,,,4.37481E+11,,,,,612002984.3,22839216800,100444174.5,1113375955,40870925.73,,389040307.6,611445867.4,5.45771E+11,5.78872E+11,,57365551907,,,,,,1248580484,,1248580484,,36585559.23,,,319322414.2,3956095988,,39812906.25,,,,26642142216,,,,,,,,,,,,,,58183276813,7855684255,1.55607E+11,,1.84157E+11,27838529109,,,632072456.4,,,,,50975764.28,15797168.94,2368806069,,2.15063E+11,3.7067E+11,,24468217716,,,,61981229944,,2280987412,193968234.9,24967736455,,,83307861368,,,1.972E+11,11002097128,208202098258.59003,5.78872E+11,定期报告,未审计,20231031,CNY,合并期末,2023-10-30T20:05:06
20230630,,13144176160,,,,,,12884573980,200000,12884373980,,49425242.14,1221208860,,,,,,,,,358261890,1579470750,608130446,,,,,626921472.4,28892698050,,,1040325554,,,,,69047210737,102880852.4,,3533600257,2621270392,,6.03256E+11,1.60998E+11,442257348736.06006,,3967833262,3957868046,9965216.12,442257348736.06006,28425697.38,4.42286E+11,,,,,635104074.4,23000810376,98081191.01,1121551785,48476143.07,,374598421.6,319258712.3,5.48197E+11,577089474242.8099,,71810607756,,,,,,1270815622,623903.37,1270191718,,33677875.03,,,321482177.9,2225178278,,20129375585,,,27115808826,47245184410,,,,,,,,,,,,,,31150485083,6941504523,1.60999E+11,,1.84921E+11,31857616052,,,629069528.8,,,,,52237071.76,14322924.08,2524459354,,2.19998E+11,3.80997E+11,,24468217716,,,,61980494121,,2829620986,111634010,24967736455,,,70666083283,,,1.85024E+11,11068344991,1.96092E+11,577089474242.8099,定期报告,未审计,20230831,CNY,合并期末,2023-08-30T19:20:06
