序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600982,宁波能源,7.35,10.03,0.67,2269107,1560660761.0,16.02,7.35,6.28,6.43,6.68,20.3,25.49,1.87
2,002310,东方新能,3.84,10.03,0.35,5490357,2027987049.41,16.91,3.84,3.25,3.38,3.49,13.08,-8363.26,14.99
3,000155,川能动力,16.16,10.01,1.47,1066397,1650010325.23,11.78,16.16,14.43,14.52,14.69,5.78,64.39,2.89
4,600310,广西能源,6.6,10.0,0.6,424981,280487407.0,0.0,6.6,6.6,6.6,6.0,2.9,-45.86,3.52
5,001896,豫能控股,16.54,9.97,1.5,2264610,3550966454.82,12.77,16.54,14.62,14.98,15.04,14.84,65.78,7.32
6,000767,晋控电力,5.09,9.94,0.46,5041469,2530383016.11,5.83,5.09,4.82,4.9,4.63,17.31,37.25,2.5
7,605028,世茂能源,29.13,5.81,1.6,68217,199732353.0,11.91,30.28,27.0,27.18,27.53,4.26,27.04,3.4
8,600868,梅雁吉祥,4.06,4.64,0.18,2788948,1129732273.0,11.34,4.26,3.82,3.88,3.88,14.69,-187.36,3.98
9,600149,廊坊发展,7.04,4.45,0.3,753486,523654820.0,7.86,7.13,6.6,6.73,6.74,19.82,1828.5,11.47
10,300125,*ST聆达,8.86,3.75,0.32,121963,108478585.9,6.44,9.05,8.5,8.55,8.54,3.38,-34.59,-3.56
11,000037,深南电A,12.4,3.42,0.41,1066276,1321604699.49,13.68,13.19,11.55,11.99,11.99,31.46,-281.08,5.08
12,000543,皖能电力,9.11,3.41,0.3,941081,836203616.39,6.24,9.13,8.58,8.74,8.81,4.15,8.13,1.2
13,000027,深圳能源,8.08,2.67,0.21,2154630,1728034278.5,10.8,8.48,7.63,7.7,7.87,4.53,14.68,1.17
14,000631,顺发恒能,3.93,2.08,0.08,374668,147247530.94,8.83,4.14,3.8,3.87,3.85,1.63,112.58,1.6
15,601991,大唐发电,4.48,2.05,0.09,3650520,1634925786.0,5.92,4.59,4.33,4.33,4.39,2.94,11.22,2.44
16,605162,新中港,11.2,2.0,0.22,334395,374108055.0,8.2,11.7,10.8,10.8,10.98,8.35,36.64,3.53
17,605580,恒盛能源,21.54,1.99,0.42,40568,86346317.0,4.64,21.59,20.61,21.0,21.12,1.45,47.26,6.25
18,001210,金房能源,21.69,1.97,0.42,34763,74785699.22,3.39,21.73,21.01,21.01,21.27,3.65,25.3,2.54
19,600505,西昌电力,15.3,1.86,0.28,294372,450424142.0,6.52,15.78,14.8,14.8,15.02,8.07,338.48,4.57
20,000993,闽东电力,16.27,1.69,0.27,841105,1334792715.87,9.38,16.42,14.92,16.1,16.0,19.13,36.89,2.8
21,002480,新筑股份,6.23,1.47,0.09,163456,102712427.0,5.86,6.44,6.08,6.15,6.14,2.13,-84.98,4.97
22,002608,江苏国信,8.86,1.37,0.12,431000,377880462.03,4.23,8.91,8.54,8.66,8.74,1.14,7.78,0.96
23,600396,华电辽能,8.99,1.24,0.11,3751972,3429878416.0,11.04,9.49,8.51,9.23,8.88,25.48,2987.08,9.8
24,600101,明星电力,10.95,1.2,0.13,472555,513792933.0,6.28,11.2,10.52,10.63,10.82,8.63,32.58,1.94
25,003816,中国广核,4.65,1.09,0.05,3040732,1398760160.98,4.35,4.67,4.47,4.56,4.6,0.77,24.05,1.91
26,600226,亨通股份,4.81,1.05,0.05,467599,222935690.0,5.04,4.85,4.61,4.67,4.76,1.57,56.88,3.96
27,600157,永泰能源,1.97,1.03,0.02,11274433,2195569236.0,3.08,1.98,1.92,1.93,1.95,5.17,162.91,0.91
28,600023,浙能电力,5.71,0.88,0.05,1345106,760858789.0,3.89,5.73,5.51,5.6,5.66,1.0,9.22,1.02
29,600475,华光环能,18.1,0.78,0.14,110644,200348233.0,3.95,18.31,17.6,17.87,17.96,1.17,37.69,1.99
30,002893,京能热力,13.21,0.69,0.09,521543,685246422.23,4.8,13.34,12.71,13.0,13.12,25.72,45.16,2.86
31,600509,天富能源,9.04,0.67,0.06,454466,409491371.0,5.01,9.2,8.75,8.86,8.98,3.31,24.9,1.6
32,002617,露笑科技,7.62,0.4,0.03,396786,301208556.05,3.29,7.69,7.44,7.47,7.59,2.11,44.32,2.29
33,600021,上海电力,19.22,0.31,0.06,251475,480419894.0,3.08,19.29,18.7,18.98,19.16,0.89,13.34,2.57
34,600052,东望时代,4.1,0.24,0.01,78514,32073906.0,2.2,4.12,4.03,4.05,4.09,0.93,39.31,1.28
35,900937,华电B股,0.184,0.0,0.0,50642,930204.0,3.26,0.186,0.18,0.18,0.184,1.17,29.02,2.51
36,600863,华能蒙电,5.33,0.0,0.0,638223,339636513.0,2.81,5.4,5.25,5.28,5.33,0.98,14.19,2.01
37,200539,粤电力Ｂ,2.15,0.0,0.0,23814,5064486.36,1.86,2.15,2.11,2.13,2.15,0.3,13.24,0.44
38,000958,电投产融,6.43,0.0,0.0,377096,240749045.38,2.02,6.44,6.31,6.32,6.43,0.7,135.89,1.71
39,000595,*ST宝实,6.44,0.0,0.0,154948,100214533.0,3.73,6.6,6.36,6.37,6.44,1.36,46.67,14.41
40,600116,三峡水利,7.19,-0.14,-0.01,503293,361218761.0,3.19,7.3,7.07,7.11,7.2,2.63,29.42,1.21
41,002053,云南能投,13.67,-0.15,-0.02,383112,529551922.99,5.41,14.2,13.46,13.6,13.69,4.16,53.26,1.7
42,600900,长江电力,27.25,-0.22,-0.06,685517,1869448582.0,0.81,27.4,27.18,27.28,27.31,0.28,19.51,3.01
43,000803,山高环能,8.97,-0.22,-0.02,222432,200127875.92,5.01,9.2,8.75,8.94,8.99,4.84,59.63,2.85
44,600969,郴电国际,10.73,-0.28,-0.03,119497,128049971.0,3.9,10.94,10.52,10.65,10.76,3.23,36.78,1.09
45,601619,嘉泽新能,5.62,-0.35,-0.02,559945,313686182.0,3.9,5.68,5.46,5.55,5.64,2.3,22.92,2.08
46,605011,杭州热电,21.7,-0.5,-0.11,101263,220113213.0,3.58,22.18,21.4,21.67,21.81,2.53,44.87,3.6
47,600011,华能国际,7.49,-0.53,-0.04,1252434,936345359.0,2.52,7.56,7.37,7.42,7.53,1.14,8.16,1.81
48,001286,陕西能源,11.3,-0.7,-0.08,253147,286107276.46,2.55,11.47,11.18,11.34,11.38,2.41,13.15,1.62
49,600575,淮河能源,4.03,-0.74,-0.03,585880,236636296.0,2.22,4.09,4.0,4.03,4.06,1.51,17.01,1.31
50,600642,申能股份,9.21,-0.75,-0.07,281832,259838041.0,1.94,9.33,9.15,9.31,9.28,0.58,10.2,1.23
51,000591,太阳能,6.09,-0.81,-0.05,1509706,920081577.15,5.05,6.26,5.95,6.07,6.14,3.85,15.93,0.98
52,000692,惠天热电,4.86,-0.82,-0.04,1285422,657660096.62,11.02,5.39,4.85,5.39,4.9,24.12,-6.13,-20.06
53,600956,新天绿能,9.62,-0.82,-0.08,470869,449869439.0,4.12,9.75,9.35,9.59,9.7,2.01,23.77,1.81
54,000875,电投绿能,7.2,-0.83,-0.06,625723,451083468.18,3.03,7.31,7.09,7.17,7.26,1.87,25.03,1.5
55,002616,长青集团,6.77,-0.88,-0.06,802813,549298476.88,6.44,7.1,6.66,6.7,6.83,13.67,21.63,1.78
56,600578,京能电力,5.57,-0.89,-0.05,560288,312562284.0,4.27,5.68,5.44,5.56,5.62,0.84,8.82,1.57
57,200037,深南电B,2.22,-0.89,-0.02,13733,3050215.4,3.13,2.26,2.19,2.22,2.24,0.52,-45.94,0.83
58,002256,兆新股份,4.35,-0.91,-0.04,2331622,1007111727.94,6.83,4.44,4.14,4.2,4.39,11.95,203.9,7.25
59,601985,中国核电,9.16,-0.97,-0.09,1685080,1543099894.0,1.84,9.25,9.08,9.19,9.25,0.89,17.66,1.63
60,600025,华能水电,10.16,-1.07,-0.11,253231,257495034.0,1.75,10.27,10.09,10.2,10.27,0.14,18.83,2.76
61,600483,福能股份,10.85,-1.09,-0.12,292363,317186229.0,2.37,10.97,10.71,10.91,10.97,1.05,11.37,1.15
62,001376,百通能源,16.78,-1.29,-0.22,184308,310450301.5,6.0,17.4,16.38,16.92,17.0,8.62,43.82,6.61
63,600726,华电能源,6.68,-1.33,-0.09,5017501,3404731535.0,12.26,7.16,6.33,6.54,6.77,6.71,148.27,12.84
64,600905,三峡能源,4.44,-1.33,-0.06,3025449,1343113285.0,1.56,4.48,4.41,4.44,4.5,1.06,22.07,1.42
65,600674,川投能源,15.41,-1.41,-0.22,279468,430724993.0,2.37,15.65,15.28,15.56,15.63,0.57,13.35,1.69
66,002060,广东建工,4.01,-1.47,-0.06,479073,192040496.22,2.21,4.06,3.97,4.02,4.07,3.07,20.22,1.09
67,000883,湖北能源,5.22,-1.51,-0.08,859567,450161968.29,3.21,5.34,5.17,5.24,5.3,1.33,19.49,0.99
68,600979,广安爱众,5.61,-1.58,-0.09,1434735,810541771.0,5.26,5.8,5.5,5.78,5.7,11.64,35.08,1.52
69,600886,国投电力,14.64,-1.61,-0.24,228878,336260901.0,2.62,14.9,14.51,14.81,14.88,0.31,13.49,1.77
70,600744,华银电力,8.4,-1.64,-0.14,1342295,1124733634.0,4.33,8.58,8.21,8.29,8.54,6.61,35.88,11.99
71,000507,珠海港,5.79,-1.7,-0.1,383069,221746297.22,2.55,5.88,5.73,5.82,5.89,4.25,16.08,0.97
72,600644,乐山电力,13.17,-1.72,-0.23,576497,754040925.0,5.22,13.45,12.75,13.06,13.4,9.97,325.46,3.68
73,003035,南网能源,8.45,-1.74,-0.15,960772,808999300.94,3.84,8.59,8.26,8.33,8.6,2.54,92.38,4.61
74,600795,国电电力,5.02,-1.76,-0.09,2258450,1137134557.0,2.15,5.1,4.99,5.06,5.11,1.27,9.91,1.46
75,002039,黔源电力,20.44,-1.78,-0.37,435384,934869616.94,12.59,22.82,20.2,22.8,20.81,10.18,13.3,2.01
76,001289,龙源电力,18.29,-1.93,-0.36,108634,199690689.73,3.32,18.81,18.19,18.48,18.65,0.22,26.11,2.01
77,002479,富春环保,5.86,-2.17,-0.13,744102,435215911.8,4.01,5.99,5.75,5.97,5.99,8.62,15.62,1.2
78,000537,绿发电力,11.44,-2.56,-0.3,904888,1040859111.14,4.77,11.92,11.36,11.74,11.74,4.4,21.9,1.18
79,600167,联美控股,7.31,-2.66,-0.2,381859,279279582.0,3.86,7.5,7.21,7.47,7.51,1.69,22.84,1.53
80,600452,涪陵电力,12.4,-2.67,-0.34,537747,666144182.0,4.0,12.68,12.17,12.63,12.74,3.5,48.3,3.48
81,002218,拓日新能,6.67,-2.91,-0.2,1859898,1238795646.85,4.66,6.78,6.46,6.62,6.87,13.36,-64.89,2.32
82,601778,晶科科技,5.52,-2.99,-0.17,2384709,1332031670.0,3.34,5.69,5.5,5.55,5.69,6.68,41.56,1.25
83,300317,珈伟新能,5.78,-3.02,-0.18,1380834,790484344.91,9.06,6.04,5.5,5.65,5.96,16.66,-87.54,3.08
84,000600,建投能源,10.14,-3.06,-0.32,638674,647702015.92,4.21,10.34,9.9,10.2,10.46,5.86,8.66,1.55
85,600719,大连热电,7.26,-3.2,-0.24,500259,367004828.0,7.07,7.73,7.2,7.42,7.5,12.36,-31.01,9.57
86,600236,桂冠电力,9.86,-3.33,-0.34,295449,293896350.0,4.12,10.2,9.78,10.15,10.2,0.37,24.09,4.36
87,000601,韶能股份,7.8,-3.35,-0.27,2544071,2024285557.3,9.54,8.45,7.68,8.32,8.07,24.24,36.09,2.01
88,600821,金开新能,10.08,-3.45,-0.36,4473706,4498078567.0,6.9,10.55,9.83,10.33,10.44,22.4,26.9,2.08
89,601908,京运通,4.84,-3.78,-0.19,4405513,2206310308.0,11.33,5.35,4.78,5.03,5.03,18.25,-38.55,1.33
90,600995,南网储能,15.32,-3.83,-0.61,476151,733548579.0,3.08,15.7,15.21,15.57,15.93,1.49,25.62,2.18
91,001258,立新能源,10.43,-3.87,-0.42,743261,771569042.99,5.07,10.67,10.12,10.48,10.85,7.96,55.01,3.21
92,000899,赣能股份,14.58,-3.89,-0.59,864865,1252383499.89,6.66,15.03,14.02,14.3,15.17,8.86,12.25,2.25
93,000791,甘肃能源,8.61,-3.91,-0.35,1076475,929771056.61,5.25,8.95,8.48,8.83,8.96,5.56,13.61,1.86
94,000862,银星能源,7.93,-4.23,-0.35,986223,783544159.87,5.8,8.26,7.78,8.13,8.28,15.71,163.71,1.7
95,600027,华电国际,5.1,-4.32,-0.23,3193412,1631971331.0,2.81,5.21,5.06,5.16,5.33,3.47,9.76,1.23
96,000690,宝新能源,5.51,-4.34,-0.25,3056832,1695627944.12,5.56,5.79,5.47,5.76,5.76,14.06,10.95,0.96
97,600098,广州发展,7.99,-4.43,-0.37,879731,703941543.0,3.59,8.2,7.9,8.2,8.36,2.51,9.73,1.02
98,002015,协鑫能科,17.76,-4.57,-0.85,1744326,3081228699.44,5.43,18.2,17.19,17.99,18.61,10.75,28.37,2.34
99,000531,穗恒运Ａ,8.02,-4.75,-0.4,680100,549986191.2,4.39,8.32,7.95,8.17,8.42,7.48,14.26,1.2
100,603105,芯能科技,12.48,-5.1,-0.67,616498,771966475.0,4.49,12.81,12.22,12.52,13.15,12.33,25.14,2.93
101,600780,通宝能源,7.99,-5.22,-0.44,1276284,1005695899.0,5.46,8.13,7.67,7.93,8.43,11.13,14.12,1.12
102,600163,中闽能源,7.83,-5.55,-0.46,2668858,2169261745.0,12.67,8.82,7.77,8.82,8.29,14.02,34.07,2.14
