序号,字段代码,字段名称,展示名称,层级,单位代码,单位说明,公式,2025三季报,2025半年报,2025一季报,2024年报,2024三季报,2024半年报,2024一季报,2023年报,2023三季报,2023半年报,2023一季报,2022年报,2022三季报,2022半年报,2022一季报,2021年报,2021三季报,2021半年报,2021一季报,2020年报,2020三季报,2020半年报,2020一季报,2019年报,2019三季报,2019半年报,2019一季报,2018年报,2018三季报,2018半年报,2018一季报,2017年报,2017三季报,2017半年报,2017一季报,2016年报,2016三季报,2016半年报,2016一季报,2015年报,2015三季报,2015半年报,2015一季报,2014年报,2014三季报,2014半年报,2014一季报,2013年报,2013三季报,2013半年报,2013一季报,2012年报,2012三季报,2012半年报,2012一季报,2011年报,2011三季报,2011半年报,2011一季报,2010年报,2010三季报,2010半年报,2010一季报,2009年报,2009三季报,2009半年报,2009一季报,2008年报,2008三季报,2008半年报,2008一季报,2007年报,2007三季报,2007半年报,2007一季报,2006年报,2006三季报,2006半年报,2006一季报,2005年报,2005三季报,2005半年报,2005一季报,2004年报,2004三季报,2004半年报,2004一季报,2003年报,2003一季报
1,CF_OPERATE_A,经营活动产生的现金流量,经营活动产生的现金流量,1,3,分组/标题,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CFrSaleGS,销售商品、提供劳务收到的现金,销售商品、提供劳务收到的现金,2,0,金额类,,68938167805.42,39395521233.7,19020714943.48,94910070204.68,71355812909.77,36208094002.07,18385232886.17,96267868544.11,56744894380.45,37090461848.7,13060820787.08,71280788590.49,54359702168.43,31390119094.64,11386511000.21,62861271803.49,39979436766.73,21612113496.8,10725085356.68,65699895013.35,43182993139.3,19809515746.39,8468644365.75,56423104095.88,39912755467.55,21164687243.53,9087026482.33,60109682551.25,42221284201.36,20712087277.74,9579228877.49,58277210212.78,39780027635.03,20549426965.94,8884375512.33,57256635482.06,41168126072.38,20647339597.85,9111323038.01,55663985457.36,37017053491.34,20130006250.58,4371263320.23,30934580303.26,20265698311.28,9708090367.94,4057346073.43,26507219988.82,19542925725.2,9156858118.39,3897963094.4,30535202648.07,21388285811.14,9951043231.92,4249981172.49,24658977802.39,15522948991.55,8643980618.03,3892230973.54,25369522411.53,15341807255.68,7446514516.54,3261187730.78,24711767769.51,15681972254.57,8422571577.29,3745582088.23,23047636415.28,13100889291.7,6510846930.47,2560379972.3,17071830717.07,10297877532.94,5327007715.33,1725029431.99,14959320540.75,9340021555.45,5171316476.85,1709292175.44,14751331301.62,8725837451.66,4846399362.71,1716642706.12,11133736046.55,6625337985.7,3284512978.81,668690944.07,3460193106.6,316094667.84
3,NDeposIncrCFI,客户存款和同业存放款项净增加额,客户存款和同业存放款项净增加额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NIncrBorrFrCB,向中央银行借款净增加额,向中央银行借款净增加额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NIncBorrOthFI,向其他金融机构拆入资金净增加额,向其他金融机构拆入资金净增加额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,premFrOrigContr,收到原保险合同保费取得的现金,收到原保险合同保费取得的现金,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NReinsurPrem,收到再保险业务现金净额,收到再保险业务现金净额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NIncPhDeposInv,保户储金及投资款净增加额,保户储金及投资款净增加额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIncDispTradFA,处置交易性金融资产净增加额,处置交易性金融资产净增加额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,IFCCashIncr,收取利息、手续费及佣金的现金,收取利息、手续费及佣金的现金,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
