序号,字段代码,字段名称,展示名称,层级,单位代码,单位说明,公式,2025三季报,2025半年报,2025一季报,2024年报,2024三季报,2024半年报,2024一季报,2023年报,2023三季报,2023半年报,2023一季报,2022年报,2022三季报,2022半年报,2022一季报,2021年报,2021三季报,2021半年报,2021一季报,2020年报,2020三季报,2020半年报,2020一季报,2019年报,2019三季报,2019半年报,2019一季报,2018年报,2018三季报,2018半年报,2018一季报,2017年报,2017三季报,2017半年报,2017一季报,2016年报,2016三季报,2016半年报,2016一季报,2015年报,2015三季报,2015半年报,2015一季报,2014年报,2014三季报,2014半年报,2014一季报,2013年报,2013三季报,2013半年报,2013一季报,2012年报,2012三季报,2012半年报,2012一季报,2011年报,2011三季报,2011半年报,2011一季报,2010年报,2010三季报,2010半年报,2010一季报,2009年报,2009三季报,2009半年报,2009一季报,2008年报,2008三季报,2008半年报,2008一季报,2007年报,2007三季报,2007半年报,2007一季报,2006年报,2006三季报,2006半年报,2006一季报,2005年报,2005三季报,2005半年报,2005一季报,2004年报,2004三季报,2004半年报,2004一季报,2003年报,2002年报
1,ASSETS,资产,资产,1,3,分组/标题,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,cashCEquiv,货币资金,货币资金,2,0,金额类,,10328949334.16,9424737205.28,6154257067.61,6569054425.22,6558947132.69,9628261253.87,8062140600.89,7823650159.5,7762267042.93,13144176159.87,10681709584.42,10638044864.92,6599488769.62,10330480360.64,7844971081.54,9929980061.69,8834626963.78,7774161131.77,5623325172.84,9231213791.79,8265574451.61,7937500349.28,7523262947.13,7323452880.02,6428766160.1,7319077672.03,5127561753.82,5336881040.54,7024798798.76,5679139025.87,4355196697.84,5201453446.62,6173314432.58,5384305561.7,3672300552.78,3379074909.02,4232903383.64,6220327500.12,4279060435.8,4529631276.68,2440949322.85,1605683707.55,5443699898.34,3113736735.76,3449996393.44,2697469810.84,1993316385.01,2263824278.48,4601455315.7,4427098660.91,2701600263.22,1548164052.27,1540434545.43,4138204159.81,2296398962.63,3755934348.99,2123123000.79,1895805075.58,4595787400.93,1900554737.06,874924599.9,1989907334.28,999232238.67,2114161995.11,4015665102.06,2606283958.77,3558038624.94,2722801249.25,1700816489.64,2151926272.0,2483974615.21,2798395702.9,4475322929.3,1470621993.38,4193990640.38,2523168579.41,975456084.09,732182682.23,743189937.84,670444364.68,1792298999.09,1852801546.85,1695597050.29,2171222075.94,882816648.81,1280330766.19,1186069960.81,1080721656.97,1098644089.29
3,settProv,结算备付金,结算备付金,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,loanToBankFi,拆出资金,拆出资金,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,tradingFa,交易性金融资产,交易性金融资产,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9880.0,10270.0,11920.0,11970.0,84100.0,92880.0,85460.0,35175.0,,99545.0,,,,,,,,,1781000.0,1785800.0,1805400.0,1782600.0,1786600.0,1804400.0,1778200.0,1780000.0,1627400.0,1707600.0,1754800.0,1739200.0,1953750.0,1831200.0,1746800.0,1001976848.11,1740900.0,,,1925800.0,43620.0,,,,,,,,,0.0,,,,,,,,,,,
6,derivAssets,衍生金融资产,衍生金融资产,2,0,金额类,,,,,,,,,21113693.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,nrAr,应收票据及应收账款,应收票据及应收账款,2,0,金额类,,15202998830.95,11714194794.56,9590940566.37,9326624055.45,12513550290.02,11913906360.5,7894548351.59,8514603738.09,23704458518.3,12884573979.92,19604048216.33,15227946749.37,5693409588.59,7187488588.07,4241121289.91,3768783444.57,9242782341.78,4507545083.3,3375496675.62,3667721602.74,9461459532.14,6941631803.71,3865735904.76,2946996813.72,5987451133.19,4717444936.0,3540798911.13,2629743599.8,6502748196.15,4950802831.8,3252839933.47,3290150306.64,6922520927.17,5203221322.8,3447769902.98,3197624578.51,5542460684.89,5907795730.99,1929262532.38,3072900297.06,3925600444.41,2953069616.56,1803764502.04,1926720436.4,4882714711.25,2889334089.35,1482124813.57,1567655350.07,3152708948.16,2920995237.44,1555377798.5,1607784608.42,4097052856.46,2957087408.69,1750043794.12,2064874734.0,5557488492.7,3665944695.08,2672788158.62,2543090458.69,7511757682.65,4177305347.52,2536285276.17,2414083761.03,6695439684.95,3881717164.19,2349816436.92,2700389458.92,6855402109.46,3487386812.01,1885127842.39,1923407556.99,4920216159.1,2988648329.49,1873598139.0,1199355979.03,3535638818.41,2860320120.49,2055051847.32,1435459782.52,4635333324.17,3603876182.39,2342092736.05,2131419042.94,3689658125.11,3332695676.13,2627425899.3,1585642489.53,704327755.58
8,notes/R,应收票据及应收账款:应收票据,  应收票据及应收账款:应收票据,2,0,金额类,,,1160000.0,1160000.0,,,,,,530000000.0,200000.0,278144.44,278144.44,450000.0,662250.0,539387.21,524640.21,300300000.0,954931.25,2954931.25,17673000.0,13698240.0,4210000.0,2640000.0,2560000.0,2534610.0,2484610.0,3769800.0,3669800.0,15050000.0,49450000.0,109700000.0,77050000.0,22485800.0,42920000.0,75083623.05,86967495.25,106000000.0,90950000.0,75350000.0,109150000.0,95390000.0,87690000.0,100340000.0,110470000.0,86760000.0,109118000.0,118758000.0,161231470.0,152514908.0,118711874.0,163436966.0,161014934.0,50764934.0,160768280.0,304138280.0,755812800.0,184310000.0,984917965.95,195920000.0,1194272979.06,354357921.44,1243700000.0,383770000.0,1127980059.96,397200000.0,1778129254.67,149500000.0,1067592534.09,560500000.0,1095500000.0,194000000.0,919000000.0,447058800.0,790000000.0,146000000.0,85000000.0,608500000.0,940902593.65,252546464.6,49686076.9,687698381.65,1344540616.42,860400000.0,621823329.84,830477668.99,1469297410.5,533979972.32,408463772.46,195271000.0
9,AR,应收票据及应收账款:应收账款,  应收票据及应收账款:应收账款,2,0,金额类,,15202998830.95,11713034794.56,9589780566.37,9326624055.45,12513550290.02,11913906360.5,7894548351.59,8514603738.09,23174458518.3,12884373979.92,19603770071.89,15227668604.93,5692959588.59,7186826338.07,4240581902.7,3768258804.36,8942482341.78,4506590152.05,3372541744.37,3650048602.74,9447761292.14,6937421803.71,3863095904.76,2944436813.72,5984916523.19,4714960326.0,3537029111.13,2626073799.8,6487698196.15,4901352831.8,3143139933.47,3213100306.64,6900035127.17,5160301322.8,3372686279.93,3110657083.26,5436460684.89,5816845730.99,1853912532.38,2963750297.06,3830210444.41,2865379616.56,1703424502.04,1816250436.4,4795954711.25,2780216089.35,1363366813.57,1406423880.07,3000194040.16,2802283363.44,1391940832.5,1446769674.42,4046287922.46,2796319128.69,1445905514.12,1309061934.0,5373178492.7,2681026729.13,2476868158.62,1348817479.63,7157399761.21,2933605347.52,2152515276.17,1286103701.07,6298239684.95,2103587909.52,2200316436.92,1632796924.83,6294902109.46,2391886812.01,1691127842.39,1004407556.99,4473157359.1,2198648329.49,1727598139.0,1114355979.03,2927138818.41,1919417526.84,1802505382.72,1385773705.62,3947634942.52,2259335565.97,1481692736.05,1509595713.1,2859180456.12,1863398265.63,2093445926.98,1177178717.07,509056755.58
10,finan/R,应收票据及应收账款:应收款项融资,  应收票据及应收账款:应收款项融资,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
