期间,营收(亿元),营业成本(亿元),营业利润(亿元),归母净利润(亿元),总资产(亿元),总负债(亿元),归母权益(亿元),货币资金(亿元),有息负债(亿元),经营现金流(亿元),资本开支(亿元),自由现金流(亿元),毛利率(%),营业利润率(%),净利率(%),ROE(%),ROA(%),ROIC(%),杜邦ROE(%),资产周转率,权益乘数,资产负债率(%),流动比率,速动比率,债务/EBITDA,利息保障倍数,经营现金流/净利润,FCF利润率(%),资本开支/营收(%),资本开支/折旧摊销,营收同比(%),归母净利润同比(%),经营现金流同比(%),每股收益,每股净资产,每股经营现金流,每股自由现金流,股息率(%),估算总股本(亿股)
2002年报,13.7113963793,5.495362161599999,6.646710197999999,4.4262381528,99.11857317219999,,85.2316866244,10.9864408929,8.66232,,,,59.92120707781222,48.47580810977423,32.281454276110495,,,,5.193183812383766,0.1383332703496348,1.1629310306740366,,2.7203,2.6712,,,,,,,,,,,1.5413,,,,55.298570443391945
2003一季报,2.3069182451,1.2302779664,0.8105343989,,,,,,0.0,0.7672824186,1.2133419246,-0.44605950599999994,46.670066483146215,35.134942498357375,,,,,,,,,,,,,,-19.33573098862306,52.595792121250675,,-83.17517646428239,,,,,,,,
2003半年报,6.9624058271,2.4633926166999998,4.2635065793,,,,,,0.0,,,,64.61865800594882,61.23611126925428,,,,,,,,,,,,,,,,,201.805486253727,,,,,,,,
2003年报,29.8583346377,8.8060121234,18.7490903773,14.3756743743,296.1655847599,,198.2676217257,10.8072165697,84.107672625,18.1962314445,189.95146281799998,-171.75523137349998,70.507356722162,62.793490008069156,48.146269873165856,7.2506,7.2736,7.9343,7.250641455813957,0.10081635468181087,1.4937667692894419,,2.1087,2.0875,,,1.2657654152928068,-575.2337947094907,636.1756779902981,,328.85082224712363,,,,2.5238,0.2316,-2.1863169042303134,1.0369,78.5591654353356
2004一季报,10.7009968603,3.3656648342,6.0373741463,4.7120738492,302.6885861755,,202.9796955749,11.8606996081,83.626064125,0.044300999,0.4089526774,-0.3646516784,68.54811866466012,56.41880121185966,44.033970953505154,2.3215,1.5737,1.8951,2.3487129488618534,0.035738239390017856,1.4924814325593612,,2.4049,2.3888,,,0.009401592678247452,-3.4076421398910415,3.821631598801676,,-64.16077122135067,-67.221893550789,-99.75653750538885,,2.5838,0.0006,-0.004641779582836406,,78.55859415392058
2004半年报,28.618860579899998,7.3154026288,18.3008080132,13.9957331059,313.6386231001,,202.6559614339,12.8033076619,85.21460375,17.049708978399998,1.3359042567000001,15.713804721699999,74.43852592112678,63.94666888329328,48.903879547635384,6.9062,4.5902,5.3859,6.9006424184234705,0.09286904796410714,1.519410827491009,,1.8939,1.881,,,1.21820763867043,54.90716402852299,4.66791559702503,,167.441070710656,197.01854329545677,38386.05982542289,,2.5796,0.217,0.2000204206838429,,78.56100226155218
2004三季报,46.584784211300004,10.9579364611,31.085771103899997,23.694471239600002,331.06762984759996,,212.3546995676,8.828166488099999,85.21460375,33.8461436054,1.9743083533,31.871835252100002,76.47743432405565,66.72945175167212,50.863112582267725,11.158,7.5552,8.8585,11.418728946586922,0.14451475846032802,1.5534691359299078,,1.4509,1.4346,,,1.4284405532052453,68.41683565074645,4.238097024008743,,62.77651614131028,69.29782141681046,98.51449457746835,,2.7031,0.4308,0.4057021485532325,,78.55969056549887
2004年报,61.7398587998,15.4913246221,39.8743727904,30.389678520300002,331.3424596633,,219.04990684830003,21.7122207594,85.2313595,52.82769641,3.0863879727,49.7413084373,74.90871387909591,64.58448976972583,49.22213803378256,13.8734,9.6858,11.2749,14.08871304030654,0.18640977780210596,1.5354729172091799,,1.8206,1.7932,,,1.7383433778251924,80.56595755846,4.999020134963441,,32.53224168595344,28.256411434539473,56.08187752761169,,2.7883,0.6725,0.6331602341733658,2.3891,78.56037974690672
2005一季报,8.7092868282,2.9663020251999996,4.2880441133,3.4258884936,425.1521504569,,222.47579534189998,16.955970502899998,130.6004515,0.0282476326,49.1112843891,-49.08303675649999,65.94093082805193,49.235307068032746,39.33603934718555,1.5399,0.9057,1.2852,1.5518410260629398,0.023025377079200007,1.7133648310111695,,0.6906,0.6724,,,0.008245345011307345,-563.5712512943414,563.8955905101373,,-85.8935750785549,-88.72680245264345,-99.94652874435265,,2.8319,0.0004,-0.6247792105973611,,78.56061137112893
2005半年报,30.1305300933,7.732999873200001,17.9550474254,14.143299741400002,432.7576191925,,216.69560658970002,18.528015468499998,179.5591775,16.591927578,98.48461437379999,-81.89268679579999,74.33500224106724,59.59087798920799,46.94009596779377,6.5268,3.7019,4.7167,6.440901970936072,0.07024172275276308,1.9534736685405065,,1.628,1.5838,,,1.1731298835046549,-271.7930502457709,326.8598795601661,,245.95863803382457,312.83596263630596,58637.409300629326,,2.7583,0.2112,-1.0424050655376411,,78.56129013874488
2005三季报,53.644374749200004,12.336201242000001,33.6912370883,25.748164004699998,439.3883775279,,214.631030853,17.9229899909,180.8374025,31.0343342944,99.2759103606,-68.24157606619998,77.00373748473233,62.804790336012694,47.99788258336254,11.9965,6.6815,8.4851,11.93905581967241,0.12301696035049912,2.022008197525851,,1.5629,1.5256,,,1.205302804842127,-127.21105686336232,185.06303936757226,,78.0399302072972,82.05202799549285,87.04477914639558,,2.6217,0.3791,-0.8335651152665366,,81.86712089598352
2005年报,72.5949695172,18.1791239695,43.5411498435,33.3867144897,393.56806930199997,,222.269581338,6.7044436468,95.97299125,54.4577494137,100.47262121909999,-46.0148718054,74.9581491797544,59.97819150979016,45.99039673374289,15.0208,9.2113,11.5194,15.283436808325787,0.17430675947940602,1.9065124277412457,,0.3466,0.3266,,,1.631120349697798,-63.3857581474673,138.40163015055046,,35.32634103127954,29.66638896507603,75.47580978247903,,3.008,0.6652,-0.6227245921706321,5.1441,73.89281294481383
