期间,营收(亿元),营业成本(亿元),营业利润(亿元),归母净利润(亿元),总资产(亿元),总负债(亿元),归母权益(亿元),货币资金(亿元),有息负债(亿元),经营现金流(亿元),资本开支(亿元),自由现金流(亿元),毛利率(%),营业利润率(%),净利率(%),ROE(%),ROA(%),ROIC(%),杜邦ROE(%),资产周转率,权益乘数,资产负债率(%),流动比率,速动比率,债务/EBITDA,利息保障倍数,经营现金流/净利润,FCF利润率(%),资本开支/营收(%),资本开支/折旧摊销,营收同比(%),归母净利润同比(%),经营现金流同比(%),每股收益,每股净资产,每股经营现金流,每股自由现金流,股息率(%),估算总股本(亿股)
2002年报,13.7113963793,5.495362161599999,6.646710197999999,4.4262381528,99.11857317219999,,85.2316866244,10.9864408929,8.66232,,,,59.92120707781222,48.47580810977423,32.281454276110495,,,,5.193183812383766,0.1383332703496348,1.1629310306740366,,2.7203,2.6712,,,,,,,,,,,1.5413,,,,55.298570443391945
2003年报,29.8583346377,8.8060121234,18.7490903773,14.3756743743,296.1655847599,,198.2676217257,10.8072165697,84.107672625,18.1962314445,189.95146281799998,-171.75523137349998,70.507356722162,62.793490008069156,48.146269873165856,7.2506,7.2736,7.9343,10.141593965758211,0.15107276139727777,1.3943037823709759,,2.1087,2.0875,,,1.2657654152928068,-575.2337947094907,636.1756779902981,,117.76290183527126,224.78312006790856,,,2.5238,0.2316,-2.1863169042303134,1.0369,78.5591654353356
2004年报,61.7398587998,15.4913246221,39.8743727904,30.389678520300002,331.3424596633,,219.04990684830003,21.7122207594,85.2313595,52.82769641,3.0863879727,49.7413084373,74.90871387909591,64.58448976972583,49.22213803378256,13.8734,9.6858,11.2749,14.564295261760716,0.1967779038005823,1.5036704702230796,,1.8206,1.7932,,,1.7383433778251924,80.56595755846,4.999020134963441,,106.7759623868823,111.39654202677902,190.32218331102686,,2.7883,0.6725,0.6331602341733658,2.3891,78.56037974690672
2005年报,72.5949695172,18.1791239695,43.5411498435,33.3867144897,393.56806930199997,,222.269581338,6.7044436468,95.97299125,54.4577494137,100.47262121909999,-46.0148718054,74.9581491797544,59.97819150979016,45.99039673374289,15.0208,9.2113,11.5194,15.130405696295025,0.20028670192118284,1.6425980460198573,,0.3466,0.3266,,,1.631120349697798,-63.3857581474673,138.40163015055046,,17.582014161385118,9.86201932803601,3.0856030349099894,,3.008,0.6652,-0.6227245921706321,5.1441,73.89281294481383
2006年报,70.49156165689999,20.9024604152,47.4794015554,36.152355532,476.35885017699997,,289.2183844851,25.2316857941,142.66466666670001,49.9099265209,2.3209536442,47.5889728767,70.34757079586706,67.35473074989328,51.28607549930945,12.5,8.3116,10.1724,14.136150974274702,0.1620631804315642,1.7007769050423123,,0.4944,0.4724,1.9246419266003345,,1.3805442490938824,67.51016966871495,3.292526920451358,0.17456365586801312,-2.897456771852003,8.283657390586363,-8.351103271366366,0.4416,3.533,0.6096,0.4244,2.7691,81.86436485855161
2007年报,87.35391685409999,26.498394777399998,68.68448303640001,53.724828854399995,643.1408327088,,412.53230550309996,27.983957029000003,188.04431041760003,49.239487262299996,105.91390789459999,-56.6744206323,69.66547610949367,78.62782289558692,61.502484134892455,13.0232,9.598,11.5743,15.311656866430265,0.15605885055531715,1.595295450161402,,0.4898,0.4719,1.8447604510760713,,0.9165126871924385,-64.87908347253459,121.24689047601518,6.055565085073487,23.92109750564655,48.606717498243924,-1.3432984284584282,0.6035,4.383,0.5232,-0.1234,1.5229,91.57153868385365
2008年报,93.73933304239999,37.970743225700005,45.745058846899994,40.0503475401,583.2524812034,,379.83567420419996,27.2280124925,163.4650962101,67.1047347836,1.5508387327000002,65.5538960509,59.493265000589304,48.80028197577283,42.72523202398347,10.5384,6.5314,8.1715,10.109027261524265,0.15286993492058615,1.5477572861604385,,0.6522,0.6284,2.016725195956276,,1.6755094251407447,69.93211272502737,1.6544162224821117,0.08005198122548284,7.3098224078091745,-25.4528150314993,36.282358965541974,0.4234,4.0356,0.713,0.2024,1.5042,94.35673163980098
2009年报,110.1503392314,46.1591396188,50.285910176499996,46.1901240413,1618.6078549954998,,618.5976239904,21.141619951099997,724.2268235232001,81.8922067611,236.1502782988,-154.2580715377,58.094419008705465,45.652070186421405,41.93371020334799,7.4641,4.1956,6.019,9.25252074922231,0.1000520672637702,2.2053154078298234,,0.2151,0.2051,6.765767453759095,,1.7729375805069862,-140.04321059206183,214.38906130166674,8.192651538413303,17.50706523757428,15.330145375274483,22.036406261326835,0.3128,3.7491,0.7445,2.03,2.7715,156.3328015549968
2010年报,218.8024630377,83.35441015939999,87.82912018569999,82.2566289899,1574.61147748,,661.6031153746,19.0055473706,567.2657716197,173.2600231537,115.1161964289,58.14382672479999,61.90426332402031,40.1408279259484,37.59401418425855,12.432,5.152,7.6693,12.850582953217257,0.13704192556549277,2.4943114265497046,,0.1108,0.1055,2.698368016822787,,2.1063350793888476,26.57366188550708,52.61192896583861,1.9753970154364222,98.63984492870912,78.08271940632122,111.57083195858029,0.4985,4.0097,1.0501,2.4522,3.379,165.00446754509986
2011年报,207.0037751127,84.2196409483,83.8548966604,77.0082914196,1583.8502644424,,682.4030538741999,37.559343489899994,487.67590619879996,154.50031278,78.2973737016,76.20293907840001,59.31492510102875,40.50887314240839,37.20139469807931,11.2835,4.8763,7.4094,11.459514573901386,0.13107885548533318,2.3500351517640325,,0.1327,0.1271,2.411400809946694,,2.006281530623297,36.812342691292706,37.82412840489127,1.332515216469935,-5.3923926454918725,-6.38044329648425,-10.827489245489797,0.4667,4.1358,0.9364,0.48,4.0035,165.00251352387568
